Ген Петров
Петров иска
иска вчера
вчера Преобладаващо
Преобладаващо облачно
облачно и
и дъждовно
дъждовно такова
такова ще
ще бъде
бъде времето
времето в
в четвъртък
четвъртък В
В следобедните
следобедните часове
часове валежите
валежите ще
ще започнат
започнат да
да спират
спират от
от юг
юг като
като най
най късно
късно ще
ще престанат
престанат в
в Дунаската
Дунаската равнина
равнина и
и Североизточна
Североизточна България
България По
По значителни
значителни количества
количества дъжд
дъжд се
се прогнозират
прогнозират за
за района
района на
на Бургас
Бургас Температурите
Температурите ще
ще бъдат
бъдат сравнително
сравнително по
по ниски
ниски от
от вчерашните
вчерашните максимални
максимални стойности
стойности до
до 8
8 9
9 градуса
градуса а
а в
в района
района на
на София
София до
до около
около 4
4 градуса
градуса В
В планините
планините през
през целия
целия ден
ден ще
ще има
има снеговалежи
снеговалежи и
и силен
силен север
север северозападен
северозападен вятър
вятър Максималните
Максималните температури
температури ще
ще са
са от
от минус
минус 5
5 до
до минус
минус 1
1 градуса
градуса спрямо
спрямо надморската
надморската височина
височина Облачността
Облачността над
над страната
страната ще
ще се
се задържи
задържи значителна
значителна и
и в
в сутрешните
сутрешните часове
часове в
в петък
петък На
На места
места е
е възможно
възможно да
да превалява
превалява слабо
слабо до
до обяд
обяд Максималните
Максималните температури
температури слабо
слабо ще
ще се
се повишат
повишат и
и ще
ще са
са в
в интервала
интервала 7
7 12
12 градуса
градуса В
В събота
събота ще
ще се
се радваме
радваме на
на предимно
предимно слънчево
слънчево и
и значително
значително по
по топло
топло време
